[OBJECTS]
# type	x	y	ani_set_id	extra_settings per object type
# type: 0 = Simon , 1 = Ground 
# Simon
0	1	368	1
#Ground
1	-32	336	2	1
1	-32	368	2	1
1	-32	400	2	1
1	0	80	2	1
1	0	112	2	1
1	0	144	2	1
1	0	176	2	1
1	0	208	2	1
1	0	304	2	1
1	0	432	2	1
1	32	432	2	1
1	32	304	2	1
1	32	272	2	1
1	32	240	2	1
1	32	208	2	1
1	64	432	2	1
1	64	240	2	1
1	96	432	2	1
1	96	240	2	1
1	128	432	2	1
1	128	240	2	1
1	160	432	2	1
1	160	240	2	1
1	192	432	2	1
1	192	240	2	1
1	224	432	2	1
1	224	240	2	1
1	256	432	2	1
1	256	240	2	1
1	288	432	2	1
1	288	240	2	1
1	320	432	2	1
1	352	432	2	1
1	352	304	2	1
1	384	432	2	1
1	384	304	2	1
1	416	432	2	1
1	416	304	2	1
1	448	432	2	1
1	448	400	2	1
1	448	368	2	1
1	448	336	2	1
1	448	304	2	1
1	448	208	2	1
1	448	176	2	1
1	448	144	2	1
1	448	112	2	1
1	448	80	2	1
1	480	272	2	1
1	480	240	2	1
1	480	208	2	1
1	480	432	2	1
1	512	432	2	1
#Gate
#3	400	300	3
#Stair
4	224	400	10	0
4	256	368	10	0
4	288	336	10	0
4	320	304	10	1
4	160	208	10	0
4	192	176	10	0
4	224	144	10	0
4	256	112	10	0
4	288	80	10	0
	






