[OBJECTS]
# type	x	y	ani_set_id	extra_settings per object type
# type: 0 = Simon , 1 = Ground 
# Simon
0	1400	336	-1	0	128	50	1	8
# Brick
1	1504	272	24
1	1504	400	24
1	1472	272	24
1	1472	400	24
1	1440	400	24
1	1408	400	24
1	1376	400	24
1	1344	400	24
1	1312	432	24
1	1280	432	24
1	1248	432	24
1	1216	432	24
1	1184	432	24
1	1152	432	24
1	1120	432	24
1	1088	432	24
1	1056	432	24
1	1024	432	24
1	992	432	24
1	960	432	24
1	928	432	24
1	896	432	24
1	864	336	24
1	864	432	24
1	832	336	24
1	832	432	24
1	800	432	24
1	768	432	24
1	736	432	24
1	704	432	24
1	672	432	24
1	640	432	24
1	608	336	24
1	608	432	24
1	576	336	24
1	576	432	24
1	544	432	24
1	512	432	24
1	480	432	24
1	448	432	24
1	416	432	24
1	384	432	24
1	353	272	24
1	352	432	24
1	320	272	24
1	320	432	24
1	288	272	24
1	288	432	24
1	256	272	24
1	256	432	24
1	224	272	24
1	224	400	24
1	192	272	24
1	192	400	24
1	160	400	24
1	128	400	24
1	96	336	24
1	96	80	24
1	64	336	24
1	64	80	24
1	32	336	24
1	32	304	24
1	32	272	24
1	32	240	24
1	32	208	24
1	32	176	24
1	32	144	24
1	32	112	24
1	32	80	24
# Gate
3	96	-16	5
# Stair
4	288	240	10	-1
4	256	208	10	-1
4	224	176	10	-1
4	192	144	10	-1
4	160	112	10	-1
4	128	80	10	-1
#Monkey
#8	864	100	25
#Skeleton
9	85	217	26
