[OBJECTS]
# type	x	y	ani_set_id	extra_settings per object type
# type: 0 = Simon , 1 = Ground 
# Simon
0	10	144	1	0	0	0	1	0
# Brick
1	-32	272	24
1	-32	304	24
1	-32	336	24
1	-32	368	24
1	-32	400	24
1	0	208	24
1	32	208	24
1	64	208	24
1	96	208	24
1	128	208	24
1	160	208	24
1	192	208	24
1	256	272	24
1	288	272	24
1	320	272	24
1	352	272	24
1	384	272	24
1	416	272	24
1	448	272	24
1	480	272	24
1	512	272	24
1	544	272	24
1	576	272	24
1	0	400	24
1	32	400	24
1	64	400	24
1	96	400	24
1	128	400	24
1	160	400	24
1	192	400	24
1	224	400	24
1	256	400	24
1	288	400	24
1	320	400	24
1	352	400	24
1	384	400	24
1	416	400	24
1	448	400	24
1	480	400	24
1	512	400	24
1	544	400	24
1	576	400	24
1	608	400	24
1	640	400	24
1	672	400	24
1	704	400	24
1	736	400	24
1	768	400	24
1	800	400	24
1	832	400	24
1	864	400	24
1	896	400	24
1	928	400	24
1	960	400	24
1	992	400	24
1	1024	400	24
1	1056	400	24
1	1088	400	24
1	1120	400	24
1	1152	400	24
1	1184	400	24
1	1216	400	24
1	1248	400	24
1	1280	400	24
1	1312	400	24
1	1344	336	24
1	1344	400	24
1	1376	400	24
1	1408	400	24
1	1440	272	24
1	1440	400	24
1	1472	272	24
1	1472	400	24
1	1504	80	26
1	1504	112	26
1	1505	144	26
1	1504	272	24
1	1505	304	26
1	1504	336	26
1	1504	368	26
1	1504	400	24
1	1536	176	24
1	1536	208	24
1	1536	240	24
# Gate
# Stair
4	224	208	10	-1
4	256	240	10	-1
4	608	272	10	-1
4	640	304	10	-1
4	672	336	10	-1
4	704	368	10	-1
4	1376	304	27	1
4	1408	272	27	1
